Variable name,"var_availability (this was calculated using the full final_dataset.csv, with all subjects)",Category of variable,Sub-category of variable,Metadata: CRFNAME,Metadata: TEXT,Key variable,
ITEM__ADAS_Q7g,38.16449348,NPA,ADAS-Cog,Item Level Data,ADAS,,
ITEM__ADAS_Q7h,38.26479438,NPA,ADAS-Cog,Item Level Data,ADAS,,
ITEM__ADAS_Q8_WL1_REC_W1_nurse,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W2_magazine,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W3_wizard,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W4_van,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W5_leopard,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W6_sale,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W7_sea,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W8_train,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W9_coin,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W10_ship,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W11_institution,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W12_map,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W13_axe,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W14_board,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W15_carrot,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W16_milk,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W17_volume,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W18_forest,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W19_anchor,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W20_gem,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W21_cat,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W22_fund,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W23_edge,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_REC_W24_cake,20.56168506,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL1_Reminder_W1_nurse,18.78134403,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W2_magazine,18.78134403,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W3_wizard,18.78134403,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W4_van,18.78134403,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W5_leopard,18.80641926,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W6_sale,18.80641926,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W7_sea,18.83149448,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W8_train,18.78134403,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W9_coin,18.83149448,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W10_ship,18.80641926,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W11_institution,18.78134403,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W12_map,18.80641926,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W13_axe,18.78134403,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W14_board,18.83149448,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W15_carrot,18.78134403,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W16_milk,18.80641926,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W17_volume,18.80641926,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W18_forest,18.78134403,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W19_anchor,18.78134403,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W20_gem,18.80641926,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W21_cat,18.78134403,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W22_fund,18.78134403,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W23_edge,18.80641926,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL1_Reminder_W24_cake,18.78134403,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_REC_W1_cost,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W2_nation,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W3_chimney,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W4_sparrow,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W5_damages,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W6_traffic,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W7_sandwich,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W8_service,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W9_shell,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W10_solution,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W11_yard,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W12_tube,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W13_body,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W14_ground,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W15_stick,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W16_engine,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W17_riches,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W18_gravity,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W19_summer,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W20_wisdom,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W21_man,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W22_meal,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W23_passenger,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_REC_W24_acid,13.36509529,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. REC means these columns store responses as to whether the participant recalled the word,,
ITEM__ADAS_Q8_WL2_Reminder_W1_cost,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W2_nation,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W3_chimney,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W4_sparrow,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W5_damages,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W6_traffic,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W7_sandwich,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W8_service,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W9_shell,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W10_solution,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W11_yard,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W12_tube,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W13_body,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W14_ground,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W15_stick,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W16_engine,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W17_riches,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W18_gravity,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W19_summer,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W20_wisdom,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W21_man,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
ITEM__ADAS_Q8_WL2_Reminder_W22_meal,13.66599799,NPA,ADAS-Cog,Item Level Data,ADAS: ADAS Q8. WL1-WL3 - indicates which wordlist was used (dependent on timepoint). W1-W14 followed by the word indicates the actual word and its position in the list. Reminder menas these columsn store whether or not a participant was given a reminder,,
